MF_Radial_id_pl: lambdaa=lamvar, mu=0, nu=0, r=1
MF_Radial_id_pl: lambdaa=lamvar, mu=0, nu=1, r=1
MF_Radial_id_pl: lambdaa=lamvar, mu=1, nu=0, r=1
MF_Radial_id_pl: lambdaa=lamvar, mu=1, nu=1, r=1
MF_Radial_id_pl: lambdaa=lamvar, mu=1, nu=2, r=1
MF_Radial_id_pl: lambdaa=lamvar, mu=2, nu=0, r=1
MF_Radial_id_pl: lambdaa=lamvar, mu=2, nu=1, r=1
MF_Radial_id_pl: lambdaa=lamvar, mu=2, nu=2, r=1
MF_Radial_id_pl: lambdaa=lamvar, mu=2, nu=3, r=1
MF_Radial_id_pl: lambdaa=lamvar, mu=3, nu=0, r=1
MF_Radial_id_pl: lambdaa=lamvar, mu=3, nu=1, r=1
MF_Radial_id_pl: lambdaa=lamvar, mu=3, nu=2, r=1
MF_Radial_id_pl: lambdaa=lamvar, mu=3, nu=3, r=1
MF_Radial_id_pl: lambdaa=lamvar, mu=3, nu=4, r=1
MF_Radial_id_pl: lambdaa=lamvar, mu=4, nu=0, r=1
MF_Radial_id_pl: lambdaa=lamvar, mu=4, nu=1, r=1
MF_Radial_id_pl: lambdaa=lamvar, mu=4, nu=2, r=1
MF_Radial_id_pl: lambdaa=lamvar, mu=4, nu=3, r=1
MF_Radial_id_pl: lambdaa=lamvar, mu=4, nu=4, r=1
MF_Radial_id_pl: lambdaa=lamvar, mu=4, nu=5, r=1
MF_Radial_id_pl: lambdaa=lamvar, mu=5, nu=0, r=1
MF_Radial_id_pl: lambdaa=lamvar, mu=5, nu=1, r=1
MF_Radial_id_pl: lambdaa=lamvar, mu=5, nu=2, r=1
MF_Radial_id_pl: lambdaa=lamvar, mu=5, nu=3, r=1
MF_Radial_id_pl: lambdaa=lamvar, mu=5, nu=4, r=1
MF_Radial_id_pl: lambdaa=lamvar, mu=5, nu=5, r=1
MF_Radial_id_pl: lambdaa=lamvar, mu=0, nu=0, r=1
MF_Radial_id_pl: lambdaa=lamvar, mu=1, nu=0, r=1
MF_Radial_id_pl: lambdaa=lamvar, mu=2, nu=0, r=1
MF_Radial_id_pl: lambdaa=lamvar, mu=3, nu=0, r=1
MF_Radial_id_pl: lambdaa=lamvar, mu=4, nu=0, r=1
MF_Radial_id_pl: lambdaa=lamvar, mu=5, nu=0, r=1
MF_Radial_id_pl: lambdaa=lamvar, mu=0, nu=1, r=1
MF_Radial_id_pl: lambdaa=lamvar, mu=1, nu=1, r=1
MF_Radial_id_pl: lambdaa=lamvar, mu=2, nu=1, r=1
MF_Radial_id_pl: lambdaa=lamvar, mu=3, nu=1, r=1
MF_Radial_id_pl: lambdaa=lamvar, mu=4, nu=1, r=1
MF_Radial_id_pl: lambdaa=lamvar, mu=5, nu=1, r=1
MF_Radial_id_pl: lambdaa=lamvar, mu=1, nu=2, r=1
MF_Radial_id_pl: lambdaa=lamvar, mu=2, nu=2, r=1
MF_Radial_id_pl: lambdaa=lamvar, mu=3, nu=2, r=1
MF_Radial_id_pl: lambdaa=lamvar, mu=4, nu=2, r=1
MF_Radial_id_pl: lambdaa=lamvar, mu=5, nu=2, r=1
MF_Radial_id_pl: lambdaa=lamvar, mu=2, nu=3, r=1
MF_Radial_id_pl: lambdaa=lamvar, mu=3, nu=3, r=1
MF_Radial_id_pl: lambdaa=lamvar, mu=4, nu=3, r=1
MF_Radial_id_pl: lambdaa=lamvar, mu=5, nu=3, r=1
MF_Radial_id_pl: lambdaa=lamvar, mu=3, nu=4, r=1
MF_Radial_id_pl: lambdaa=lamvar, mu=4, nu=4, r=1
MF_Radial_id_pl: lambdaa=lamvar, mu=5, nu=4, r=1
MF_Radial_id_pl: lambdaa=lamvar, mu=4, nu=5, r=1
MF_Radial_id_pl: lambdaa=lamvar, mu=5, nu=5, r=1
MF_Radial_id_pl: lambdaa=lamvar, mu=0, nu=0, r=1
MF_Radial_id_pl: lambdaa=lamvar, mu=0, nu=1, r=1
MF_Radial_id_pl: lambdaa=lamvar, mu=1, nu=0, r=1
MF_Radial_id_pl: lambdaa=lamvar, mu=1, nu=1, r=1
MF_Radial_id_pl: lambdaa=lamvar, mu=1, nu=2, r=1
MF_Radial_id_pl: lambdaa=lamvar, mu=2, nu=0, r=1
MF_Radial_id_pl: lambdaa=lamvar, mu=2, nu=1, r=1
MF_Radial_id_pl: lambdaa=lamvar, mu=2, nu=2, r=1
MF_Radial_id_pl: lambdaa=lamvar, mu=2, nu=3, r=1
MF_Radial_id_pl: lambdaa=lamvar, mu=3, nu=0, r=1
MF_Radial_id_pl: lambdaa=lamvar, mu=3, nu=1, r=1
